TrainAccuracy,TrainLoss,TestAccuracy,TestLoss,EpochTime,Totaltime
45.245000000000005,1.5994963047266006,55.989999999999995,1.2769286489486695,36.518333435058594,36.51855826377869
62.33,1.0964894805908203,65.49000000000001,0.9861921685934066,36.22069430351257,72.73936223983765
70.5925,0.8697515759825707,73.71,0.7616206241130828,35.109761238098145,107.84922957420349
75.1725,0.7324187857627869,74.09,0.7677010483264923,35.59854793548584,143.4478795528412
78.7875,0.6332221980214119,76.0,0.7100644016265869,35.76990246772766,179.21790885925293
81.375,0.5548280988126993,76.97,0.6894673036932946,35.135814905166626,214.35383796691895
84.295,0.46769475212991235,76.92999999999999,0.70691209846735,35.65349626541138,250.00744080543518
86.9,0.3883800011567771,79.35,0.6193927808642388,35.85947847366333,285.86702942848206
89.0325,0.3272781626082957,78.9,0.6502607916593551,35.024330854415894,320.8914694786072
90.8,0.2741710444681346,80.33,0.615199130487442,35.47813558578491,356.3697099685669
92.6975,0.21996532840859145,80.83,0.6291600086122752,35.99066376686096,392.36051750183105
93.96,0.18464345139050856,80.78,0.6253003856390714,35.22014927864075,427.5807762145996
95.06,0.15081397824948653,81.47,0.6205178837329149,35.548115491867065,463.1290056705475
96.08250000000001,0.12027339109387249,80.99,0.6625895787835121,35.889654874801636,499.01876878738403
96.8575,0.10046069600540214,80.95,0.6822894272759557,35.221837520599365,534.2407126426697
97.3,0.08824717771839351,81.82000000000001,0.6714715881776064,35.550925970077515,569.7918527126312
97.9575,0.06856257601273247,81.28999999999999,0.748096003478393,35.88804244995117,605.6799976825714
98.315,0.058398061291710476,82.44,0.6562131454311311,35.056636333465576,640.7373535633087
98.46000000000001,0.05306793703848962,82.77,0.6470480164874345,34.920549392700195,675.6580290794373
98.475,0.04935792566749733,81.83,0.6921255557924509,35.00407028198242,710.6622350215912
98.725,0.04404813140219776,81.23,0.7297487162210047,34.85804319381714,745.5203833580017
99.0125,0.03574978523033205,82.05,0.7029474996313453,34.95667481422424,780.4771690368652
99.1475,0.03159952530396404,77.13,0.9739612111613154,34.83096885681152,815.3082504272461
99.0775,0.031202479507320094,83.3,0.6383050717342645,34.839595079422,850.1479616165161
99.29249999999999,0.027393336215452292,82.94,0.6766730428747832,35.14771318435669,885.2957830429077
99.515,0.02018076181427459,84.17999999999999,0.636639860316366,35.41679644584656,920.7127006053925
99.69,0.013629495822248282,83.65,0.6646531804248691,35.19928598403931,955.9120900630951
99.61,0.015704076241285655,83.32000000000001,0.6977964291796088,34.769039154052734,990.6820161342621
99.615,0.014433964886158356,82.99,0.7231584306683392,34.82760262489319,1025.5097253322601
99.63250000000001,0.014703088206955,82.37,0.7332920457661152,34.893943309783936,1060.4037909507751
99.6925,0.012915783652814572,82.99,0.708367680478841,35.07866549491882,1095.482571363449
99.6625,0.014142897223203908,83.39999999999999,0.6862798924362287,34.907257318496704,1130.3899457454681
99.795,0.010037054367808742,84.11999999999999,0.6784646979467012,34.93976092338562,1165.3298189640045
99.8575,0.00729560410619888,84.07,0.6726478340547531,34.97021532058716,1200.3001375198364
99.8325,0.008278998033971583,82.46,0.7681973500534892,35.274675369262695,1235.5749251842499
99.78,0.008908395721405395,84.17,0.6718697051906958,35.34753704071045,1270.9225776195526
99.83,0.008121968458720949,83.55,0.7059520652538166,35.035746812820435,1305.9584550857544
99.8525,0.0070373880802799245,84.0,0.70195207540486,34.75710844993591,1340.715671300888
99.8825,0.005813912284286926,84.11,0.6830530120116542,35.130770444869995,1375.8465740680695
99.9225,0.0049506381215527655,83.86,0.7097295631553279,34.8822283744812,1410.728922843933
99.92999999999999,0.004667330907851283,83.93,0.7035307888589799,34.84611248970032,1445.575161933899
99.92999999999999,0.004103525194514077,83.71,0.7122213469387032,34.84866499900818,1480.4243259429932
99.9525,0.0037638127852820617,84.11,0.7169175165671855,35.07514214515686,1515.49960231781
99.9675,0.0031082640944834566,84.16,0.7059254876963794,35.09386897087097,1550.593599319458
99.9575,0.0036423344644674217,84.34,0.6987318243891234,35.15155911445618,1585.7452685832977
99.96000000000001,0.0028796668978269737,84.23,0.7158417231440078,35.016929388046265,1620.7630524635315
99.92999999999999,0.0040650869587727356,83.39999999999999,0.740704643001454,34.84119153022766,1655.6043555736542
99.94,0.0038584490646666383,83.84,0.7208276167310774,34.79131627082825,1690.3957855701447
99.9175,0.004059952937139314,83.99,0.7110465609876438,34.98125720024109,1725.3771712779999
99.87,0.005771582727510395,84.11,0.7312001584639772,34.86555576324463,1760.2428460121155
99.9075,0.00425346561434344,83.71,0.7414475429932587,34.92552614212036,1795.1684844493866
99.82,0.007282911055409931,83.33,0.7433722543889657,34.87390947341919,1830.0425109863281
99.895,0.005063440693869779,83.98,0.7263811850388942,35.299299001693726,1865.3419227600098
99.935,0.0037905842265747195,83.59,0.7365389512242982,35.44489526748657,1900.7869341373444
99.89,0.00477702659243223,83.75,0.7327986038481351,35.367692708969116,1936.154727935791
99.94,0.003269698054979199,84.17,0.710532211265713,34.88042211532593,1971.0358836650848
99.95,0.0030621875469747464,84.2,0.7051135787269566,34.83748960494995,2005.8735010623932
99.9625,0.002977986209795927,84.24000000000001,0.7204432339035906,34.880688190460205,2040.7542934417725
99.94,0.00312185595493429,83.98,0.7237678696574643,34.91165280342102,2075.666055202484
99.9225,0.003569910012715991,83.59,0.7129259413548745,35.028679609298706,2110.6948432922363
99.92750000000001,0.0037217088993154904,83.78999999999999,0.7369494232851547,35.002554416656494,2145.6975259780884
99.97,0.002493086873855282,84.5,0.7096077025167644,34.93766474723816,2180.6353018283844
99.985,0.0018359007627994288,84.58,0.6840518660665024,35.11843490600586,2215.7538361549377
99.98,0.001662795210987315,84.47,0.7041530745881144,35.38919973373413,2251.1431682109833
99.9825,0.001586552419349755,84.42,0.7032228133593337,35.03479743003845,2286.1780886650085
99.9675,0.001856970195003305,84.38,0.7081337423665449,34.72546625137329,2320.9036605358124
99.98,0.0015901113901629288,83.97,0.7270684510950348,34.975300550460815,2355.8790781497955
99.965,0.0019342857589301275,84.04,0.7248790005895193,35.127352237701416,2391.006546974182
99.965,0.001984426093978982,84.38,0.7172958741606738,34.97007656097412,2425.976730823517
99.91250000000001,0.0032432696646803377,84.71,0.6983964939832688,34.93535327911377,2460.912200450897
99.94,0.002670244148621714,83.66,0.7547673527993262,35.03127884864807,2495.9436037540436
99.965,0.0022396178686660277,84.09,0.7387989478746662,35.17553782463074,2531.119251728058
99.97500000000001,0.002048354727865808,84.32,0.7194829909819178,35.30503225326538,2566.4244017601013
99.97,0.0019388872613055354,84.36,0.7387904160428181,35.306742429733276,2601.7312622070312
99.97749999999999,0.0015144578510076826,84.50999999999999,0.7152956532843644,34.989381313323975,2636.721526861191
99.97500000000001,0.0015670908883701486,84.19,0.7437781182166422,34.85435128211975,2671.5759880542755
99.99249999999999,0.0011161210512016624,84.58,0.7172786137166346,34.96425819396973,2706.5403578281403
99.99249999999999,0.0011132307293790292,84.58,0.7189556843751459,34.895601987838745,2741.4360797405243
99.9725,0.0014977152526349528,84.35000000000001,0.7575944545336126,34.88974332809448,2776.325935602188
99.9625,0.0018300922627895488,84.04,0.7429961270440836,34.95995879173279,2811.2860119342804
